Tipos,Status,Descrição,Detalhe,O que o cliente deve fazer
BDE,0,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDI,0,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDR,0,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDE,1,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDI,1,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDR,1,Objeto entregue ao destinatário,Recebido por:,Finalizar a entrega. Não é mais necessário prosseguir com o acompanhamento.
BDE,2,A entrega não pode ser efetuada - Carteiro não atendido,Aguarde! Objeto estará disponível para retirada na unidade a ser informada.,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
BDI,2,A entrega não pode ser efetuada - Carteiro não atendido,Aguarde! Objeto estará disponível para retirada na unidade a ser informada.,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
BDR,2,A entrega não pode ser efetuada - Carteiro não atendido,Aguarde! Objeto estará disponível para retirada na unidade a ser informada.,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
BDE,3,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acompanhar. O interessado não buscou o objeto na unidade dos Correios durante o período de guarda.
BDI,3,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acompanhar. O interessado não buscou o objeto na unidade dos Correios durante o período de guarda.
BDR,3,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acompanhar. O interessado não buscou o objeto na unidade dos Correios durante o período de guarda.
BDE,4,A entrega não pode ser efetuada - Cliente recusou- se a receber,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,4,A entrega não pode ser efetuada - Cliente recusou- se a receber,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,4,A entrega não pode ser efetuada - Cliente recusou- se a receber,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,5,A entrega não pode ser efetuada,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,5,A entrega não pode ser efetuada,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,5,A entrega não pode ser efetuada,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,6,A entrega não pode ser efetuada - Cliente desconhecido no local,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,6,A entrega não pode ser efetuada - Cliente desconhecido no local,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,6,A entrega não pode ser efetuada - Cliente desconhecido no local,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,7,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDI,7,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDR,7,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDE,8,A entrega não pode ser efetuada - Endereço incorreto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,8,A entrega não pode ser efetuada - Endereço incorreto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,8,A entrega não pode ser efetuada - Endereço incorreto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,9,Objeto não localizado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,9,Objeto não localizado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,9,Objeto não localizado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,10,A entrega não pode ser efetuada - Cliente mudou-se,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,10,A entrega não pode ser efetuada - Cliente mudou-se,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,10,A entrega não pode ser efetuada - Cliente mudou-se,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,12,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acionar atendimento dos Correios.
BDI,12,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acionar atendimento dos Correios.
BDR,12,Remetente não retirou objeto na Unidade dos Correios,Objeto em análise de destinação,Acionar atendimento dos Correios.
BDE,19,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,19,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,19,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,20,A entrega não pode ser efetuada - Carteiro não atendido,Será realizada nova tentativa de entrega,Acompanhar
BDI,20,A entrega não pode ser efetuada - Carteiro não atendido,Será realizada nova tentativa de entrega,Acompanhar
BDR,20,A entrega não pode ser efetuada - Carteiro não atendido,Será realizada nova tentativa de entrega,Acompanhar
BDE,21,A entrega não pode ser efetuada - Carteiro não atendido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,21,A entrega não pode ser efetuada - Carteiro não atendido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,21,A entrega não pode ser efetuada - Carteiro não atendido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,22,Objeto devolvido aos Correios,,Acompanhar
BDI,22,Objeto devolvido aos Correios,,Acompanhar
BDR,22,Objeto devolvido aos Correios,,Acompanhar
BDE,23,Objeto devolvido ao remetente,Recebido por:,Acompanhar
BDI,23,Objeto devolvido ao remetente,Recebido por:,Acompanhar
BDR,23,Objeto devolvido ao remetente,Recebido por:,Acompanhar
BDE,24,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDI,24,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDR,24,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDE,25,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
BDI,25,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
